1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0,60;22,40;315,21;1222,18;2812;3187;3627;5,82;8,00;9,70;11,37;11,96;13,48;15,52;17,35;18,76;25,39;28,09;26,75;31,99;32,52;33,88;38,64;43,81;47,61;51,44;53,45;54,04;57,70;59,32;64,89;73,37;75,26
13,20;415,00;2756,82;8583,13;22514;24828;27025;56,33;74,32;85,17;103,06;102,67;111,95;122,30;138,72;144,26;233,93;212,92;213,11;263,20;273,43;272,57;326,89;388,81;418,61;461,71;478,88;502,55;552,03;590,39;641,22;756,74;780,06
4,47;87,10;827,07;2657,27;5345;5879;5687;14,94;14,94;16,57;18,84;20,06;22,08;28,44;24,50;27,06;34,89;40,02;34,16;38,56;41,25;43,34;56,01;58,76;65,02;64,17;54,63;68,97;65,37;75,78;87,77;81,70;132,45
2,45;135,50;754,98;2241,39;4486;3681;4326;12,69;9,20;15,62;14,88;19,47;18,34;19,69;19,69;22,71;21,63;23,07;33,02;40,62;30,22;31,58;32,32;44,97;52,14;48,78;36,75;46,23;31,59;50,23;55,82;64,03;70,94
21,21;1136,60;4864,96;12741,62;25747;28443;33527;122,00;140,45;144,19;155,92;167,83;173,18;183,01;193,61;204,25;224,65;269,53;339,81;348,21;367,68;391,06;422,62;496,40;685,73;759,21;765,93;780,19;828,94;911,10;983,49;1200,34;1229,10
1,60;45,60;296,32;973,31;3115;3325;3209;3,73;8,04;8,08;8,48;8,04;11,40;13,06;11,91;12,83;17,35;21,45;19,49;21,45;19,76;25,19;26,83;29,46;32,78;33,27;32,11;33,47;36,36;41,60;47,58;51,84;49,96
0,99;43,30;465,97;1674,07;4811;5648;5686;6,42;10,96;12,19;13,69;14,35;18,69;21,61;22,24;24,92;30,68;39,32;39,65;42,60;45,36;50,51;55,11;58,75;64,80;67,61;68,92;72,98;77,42;84,12;92,67;85,21;90,76
2,63;85,60;283,51;1566,97;4592;5087;4785;12,30;17,61;13,03;13,55;15,69;16,30;21,04;21,36;23,45;31,54;44,28;44,09;42,14;40,65;39,80;43,51;53,03;67,87;63,98;62,83;64,90;70,16;80,34;89,81;111,09;123,65
1,71;74,50;565,42;2402,66;6511;7135;7073;12,17;16,30;17,52;19,43;20,83;21,68;24,91;25,68;26,95;33,48;45,57;46,11;47,77;46,18;48,87;50,67;55,18;66,01;68,41;67,61;68,07;74,23;83,07;96,49;110,44;109,07
2,26;34,90;240,95;918,10;1882;1778;1871;3,52;5,60;5,19;6,33;9,51;7,89;8,12;9,72;10,94;14,30;16,67;14,03;28,94;14,26;16,07;23,18;26,66;19,91;20,25;22,25;23,84;21,38;29,15;46,57;31,91;28,04
2,40;27,00;363,48;1087,84;2094;2344;1917;4,81;3,97;4,75;5,99;9,75;7,02;7,84;10,21;9,48;16,32;11,92;13,27;28,22;10,61;15,65;17,30;25,55;22,68;17,96;16,14;28,07;20,63;20,88;52,59;24,12;33,09
5,45;34,40;561,84;1584,63;2340;2395;2832;7,56;6,72;6,11;8,34;11,99;12,52;11,20;12,77;16,13;17,88;16,50;17,86;27,41;16,03;16,70;21,36;26,47;24,64;21,28;21,22;26,41;24,31;26,41;30,95;32,15;34,44
7,00;105,60;941,21;3122,06;6038;6601;6985;16,61;23,28;22,02;27,59;31,48;31,72;34,09;36,87;44,09;48,62;56,33;53,51;62,37;63,59;62,54;63,26;76,70;87,43;81,92;88,57;85,66;90,29;106,28;100,63;101,60;122,06
22,61;499,60;4277,85;8466,72;20230;35365;38113;46,97;64,84;84,05;94,76;102,54;116,45;134,94;148,89;166,04;181,66;203,02;213,84;230,22;256,21;315,45;406,51;547,02;559,21;583,00;600,59;604,26;615,57;631,08;643,07;678,26;699,25
70,00;1425,60;7912,29;15686,88;37590;58029;82868;160,34;248,33;308,51;368,08;427,68;471,65;512,78;557,90;647,21;700,06;761,58;803,14;817,02;868,80;920,54;1012,29;1139,95;1261,25;1321,94;1303,04;1278,75;1275,92;1282,98;1287,13;1339,35;1369,25
27,92;1155,00;5801,90;11785,53;22937;29628;32014;60,39;84,52;93,38;105,28;109,49;113,13;118,16;124,39;135,76;145,98;160,87;173,29;183,93;201,74;221,88;235,28;253,64;283,72;306,22;320,63;333,28;346,20;367,35;390,90;434,14;463,90
1,58;62,74;599,64;1887,22;5154;6972;7963;10,56;16,01;20,06;22,91;25,50;27,05;28,79;31,00;33,12;36,26;42,25;47,14;56,14;62,13;69,00;77,18;87,37;98,36;105,68;110,22;112,60;114,09;116,05;119,27;163,83;162,41
545,96;8500,00;44333,78;109259,43;283799;362629;400103;610,65;1011,43;1368,59;1632,26;1829,52;1960,04;2172,11;2435,26;2701,32;3053,52;3400,80;3918,92;4298,34;4788,25;4941,49;5181,32;6004,43;6759,14;7271,31;7526,88;7691,87;7874,03;8048,18;8391,49;8800,29;9038,93
632,80;6582,90;49764,06;136307,60;403808;527424;601076;891,19;1411,26;1824,78;2245,35;2565,41;2708,21;2939,32;3281,77;3605,84;3998,79;4405,86;4849,00;5143,97;5642,05;5923,32;6319,67;6772,70;7837,68;8402,89;8760,36;9281,69;9660,37;9579,04;10359,90;11606,48;12269,27
46,22;804,70;7296,04;19615,55;42662;51231;58537;96,96;170,59;226,76;270,48;312,44;329,37;357,33;392,86;430,04;471,63;528,43;618,29;674,80;741,48;818,21;868,39;942,07;1116,85;1252,04;1329,22;1379,67;1472,17;1527,88;1614,83;1867,09;2078,39
268,16;4557,20;24371,24;51036,39;102497;127197;137783;236,17;368,30;448,48;543,59;641,56;686,54;753,57;855,39;941,36;1022,86;1129,86;1267,62;1373,95;1493,41;1559,68;1630,21;1722,50;1885,11;1996,16;2066,34;2082,95;2130,50;2159,80;2239,04;2414,42;2601,37
5,39;67,30;819,52;2344,15;5548;6553;7278;10,88;16,85;20,24;23,72;26,54;28,12;30,83;33,99;36,70;40,01;43,40;48,98;52,04;54,96;57,94;60,92;63,94;72,28;78,24;80,07;81,84;88,60;90,79;97,56;113,93;123,55
8,65;150,70;1069,90;3973,16;9703;11525;9700;19,60;28,78;32,52;35,37;38,29;40,28;45,88;51,25;56,58;63,85;72,66;89,66;98,62;107,45;118,01;124,03;133,39;154,82;167,44;171,28;205,53;211,77;223,73;234,58;259,47;279,05
88,39;4876,10;32604,23;74991,63;181706;222348;260471;434,61;704,73;914,62;1093,47;1237,10;1316,11;1428,56;1559,48;1679,72;1807,08;1934,76;2125,36;2250,88;2376,43;2507,68;2643,30;2818,99;3344,92;3708,35;3900,82;4026,25;4146,28;4179,07;4380,60;4849,04;4778,47
412,21;10829,20;86742,29;181283,56;352061;387473;445391;1021,72;1486,86;1838,87;2098,80;2274,84;2338,61;2490,72;2685,49;2931,90;3195,31;3502,05;3809,53;4091,76;4386,52;4646,59;4922,32;5327,88;6272,06;6923,50;7271,08;7454,53;7512,17;7570,11;7798,77;8077,04;8393,10
187,92;5000,00;24437,23;52195,64;119280;149050;252229;468,51;804,51;1040,89;1246,97;1438,51;1488,77;1602,77;1700,81;1788,36;1927,82;2089,20;2340,73;2483,88;2645,83;2792,61;2939,16;3092,50;3600,24;3970,59;4166,36;4157,34;4264,21;4289,55;4401,28;4838,68;4759,10
1,73;22,60;217,43;802,10;2221;2436;2594;5,86;8,19;8,23;8,44;9,06;8,73;9,06;9,52;10,02;11,23;13,85;16,36;17,03;18,32;19,44;20,69;22,47;27,61;30,35;31,62;32,73;34,78;37,54;41,37;59,04;59,88
7,78;111,30;650,20;2772,05;8858;10451;11860;26,10;35,91;38,67;42,65;45,86;43,59;48,08;53,01;56,67;60,92;67,57;79,36;82,17;87,84;94,15;96,36;104,73;125,66;132,74;132,97;136,58;144,03;148,17;159,67;212,29;212,94
2,76;84,50;299,35;542,87;1488;1627;1920;5,18;6,18;6,48;6,78;7,15;7,57;7,95;8,45;9,15;10,00;11,87;14,50;17,74;22,13;27,98;37,39;48,69;63,13;74,89;80,46;88,72;98,34;107,51;127,74;164,81;176,84
757,34;3889,10;18597,71;28626,45;53019;60340;59292;128,26;184,56;216,69;247,95;269,03;274,71;297,15;317,00;351,18;382,34;431,41;507,35;569,46;547,25;602,46;636,52;722,28;891,32;872,60;891,54;816,87;884,34;896,30;966,29;1061,71;1106,94
328,53;9490,10;50675,81;130837,59;396560;558486;674852;1768,79;2161,36;2304,05;2439,66;2565,11;2492,75;2521,73;2633,16;2768,99;2854,43;3085,34;3556,75;3586,80;3801,80;3978,07;4069,52;5140,87;6189,70;6461,50;6733,06;7125,07;7335,22;7894,39;8264,29;9520,72;9676,64
378,00;8593,50;63986,81;168862,01;469798;647535;759546;927,87;1631,98;2044,32;2295,39;2433,53;2440,99;2524,27;2808,98;3129,57;3380,09;3777,47;4739,90;5211,11;5723,32;6212,41;6516,04;7412,22;9516,18;9948,55;10975,67;11606,55;11845,78;12438,39;14392,37;16825,46;17239,04
2161,00;75721,20;401573,97;998803,75;1808916;1990745;2148881;5622,84;6148,16;6656,92;7811,84;8166,64;7914,32;7728,89;7601,63;7794,71;7667,66;8049,80;10563,54;11400,39;13554,47;14189,09;15144,74;19047,78;22529,29;22999,51;22570,80;22958,88;22134,51;27357,88;31879,43;32017,40;33012,78
É;...;...;31986,77;99732;118529;126831;139,32;213,93;269,50;335,63;398,32;460,27;508,15;646,24;734,86;913,71;1142,04;1144,83;1154,66;1232,19;1289,04;1368,75;1425,95;1494,21;1535,18;2717,70;2752,78;2949,49;3109,30;4151,10;4460,36;4586,80
224,25;7491,10;94244,00;280547,25;738304;897599;1004603;1100,67;1515,78;2196,75;2876,98;3583,47;3919,92;4437,67;4944,73;5998,60;8292,20;9853,44;8910,11;9050,07;9646,75;10796,17;11627,90;12458,63;13157,38;12763,89;12708,44;12607,68;13859,25;14432,86;18701,51;21228,05;23441,58
É;...;...;17314,14;45899;50153;50943;94,84;121,82;136,02;147,03;156,94;164,09;173,89;188,47;198,66;211,64;242,56;289,31;299,74;327,47;350,36;366,51;409,58;474,68;507,99;506,83;528,57;541,81;545,77;576,82;686,29;727,18
É;...;...;77646,27;142340;147568;146804;242,66;348,28;389,92;417,61;446,92;484,73;509,79;545,42;663,28;769,63;965,29;1262,50;1483,66;1914,56;2120,64;2210,85;2307,75;2890,42;3158,80;3132,60;3268,49;3507,84;4547,47;5127,35;6158,78;7497,94
0,51;27,80;175,59;595,76;1681;1805;1827;1,96;5,75;7,35;6,52;7,58;9,06;12,46;14,32;15,75;17,01;17,41;19,16;20,09;24,65;26,56;27,91;30,41;32,23;33,59;35,22;É;É;É;É;É;...
É;É;É;É;É;É;2329;2,68;6,85;8,60;7,88;9,80;11,29;14,41;16,79;18,68;20,31;20,11;21,84;23,42;26,49;28,06;29,58;32,44;34,04;35,28;37,95;41,58;42,27;43,32;47,13;47,21;50,26
É;É;É;É;É;É;É;É;É;É;9,16;10,97;12,49;15,54;18,02;20,15;21,90;22,84;23,67;25,29;28,45;30,69;32,66;35,21;36,91;38,34;41,01;44,83;45,74;47,01;50,98;51,35;54,87
É;É;É;É;É;É;2623;3,63;4,08;5,42;5,17;5,45;5,49;7,63;7,61;7,68;7,52;10,56;9,40;8,72;9,04;10,11;10,45;11,23;15,31;17,97;17,59;19,03;21,61;24,62;29,78;37,52;42,94
É;É;É;549,84;1037;1209;1204;1,72;2,55;2,57;2,35;2,41;2,50;2,38;2,82;2,96;2,83;3,51;5,25;5,00;5,14;5,94;6,27;6,59;10,75;13,06;12,33;12,74;14,54;18,52;20,82;28,16;31,98
0,50;0,85;112,00;437,21;864;996;991;1,30;1,62;1,58;1,47;1,48;1,56;1,52;1,81;2,00;2,02;2,51;4,38;4,54;3,57;3,55;3,81;3,91;6,07;6,43;6,04;5,95;6,39;8,34;10,02;12,58;16,39
4,75;92,17;1683,00;5498,27;11532;15024;17168;21,15;28,70;36,42;45,10;56,28;66,96;79,60;93,12;105,53;121,67;145,52;166,34;180,16;212,25;228,73;241,94;260,75;290,62;318,79;325,66;330,22;342,90;351,59;390,92;408,82;447,44
49,91;999,10;13486,00;37205,48;68702;85158;73740;84,07;112,80;137,11;179,32;223,72;259,22;300,38;339,30;377,33;538,54;614,37;699,50;760,80;804,07;906,76;979,12;1153,52;1303,79;1328,98;1435,92;1479,78;1569,62;1700,33;1856,93;2078,28;2269,47
106,92;3333,00;43594,00;96296,85;211722;258477;88855;109,52;139,36;167,26;196,33;233,97;264,68;304,06;372,70;412,73;499,80;599,53;917,52;1037,78;1124,14;1263,20;1160,98;1231,78;1366,13;1388,27;1428,14;1486,65;1562,07;1566,65;1674,35;1949,78;2104,65
9,85;213,20;3964,00;13122,51;31882;45357;53480;67,93;95,49;121,20;148,50;183,16;219,77;254,94;292,67;337,72;386,81;459,56;520,34;561,07;692,40;746,04;818,54;850,88;925,02;998,46;1012,64;1052,41;1130,92;1206,14;1322,54;1526,20;1684,25
0,84;22,62;308,00;1344,91;3320;4995;5725;6,76;8,25;10,32;13,13;16,53;19,30;22,59;26,95;31,50;38,15;47,29;54,18;56,94;68,47;66,02;70,14;90,70;98,24;107,32;112,84;120,99;124,60;128,28;156,28;185,61;200,40
10,21;137,21;2684,00;11169,70;29269;41229;28764;33,48;40,95;51,72;68,17;84,83;100,01;120,12;143,91;167,10;195,22;228,59;251,40;269,11;313,90;341,06;365,18;384,66;412,35;476,56;494,86;520,19;538,51;576,36;611,97;684,86;772,68
6,85;95,02;1746,00;7616,46;18519;26927;25810;30,11;37,53;45,98;59,83;75,32;87,45;103,27;122,19;140,29;164,15;190,12;211,03;224,10;278,80;299,35;314,57;343,07;356,97;374,41;403,15;413,91;422,18;443,71;475,74;512,07;569,67
75,15;1355,20;19573,00;91088,12;229588;319436;403599;464,06;491,43;569,3;705,62;844,84;1020,05;1226,46;1527,92;1881,21;2207,46;2689,38;3385,70;3581,53;3787,66;4565,04;4672,60;4868,29;5232,19;5737,36;6023,78;6334,50;6791,59;7087,80;8054,43;8103,27;9689,42
134,97;2303,94;25555,00;90539,15;232382;311847;335968;363,29;435,50;525,58;626,94;727,05;829,89;947,61;1112,81;1298,21;1476,71;1730,78;2054,33;2204,25;2382,18;2598,73;2794,56;3028,53;3400,84;3538,26;3701,92;3732,66;3842,61;3975,38;4491,70;5106,29;7010,08
0,15;1,66;30,00;216,50;656;1031;1260;1,43;1,98;2,62;3,21;4,24;4,76;5,68;6,58;7,65;8,65;10,55;11,55;12,90;14,73;15,88;17,20;17,50;19,76;21,03;24,87;23,71;25,59;27,78;29,39;31,49;33,62
0,14;1,49;15,00;213,68;681;1057;1248;1,43;1,88;2,70;3,29;4,51;4,72;5,61;6,40;7,54;8,48;9,96;11,54;13,01;14,38;16,45;17,45;17,67;19,76;20,86;26,14;26,67;29,67;33,13;34,58;39,30;40,73
0,14;1,62;14,00;202,90;692;1038;1258;1,37;1,82;2,58;3,16;4,27;4,63;5,42;6,20;7,24;8,23;9,66;10,97;12,36;13,49;14,65;16,45;16,55;18,30;19,01;23,94;26,02;28,61;31,04;32,74;30,58;31,54
0,14;2,74;31,00;303,29;1136;1445;1652;2,20;3,08;4,31;4,56;6,09;6,13;7,97;10,33;11,57;13,05;14,82;17,43;20,50;24,37;25,86;25,58;27,65;31,04;32,77;36,92;36,44;38,36;40,54;42,71;46,35;52,19
0,09;1,53;27,00;249,36;792;1001;1075;1,09;1,49;2,18;3,11;4,13;4,72;5,07;5,60;6,48;6,49;7,49;8,96;10,52;11,94;13,18;14,27;15,11;17,18;19,13;22,13;22,14;23,16;23,16;24,14;27,02;29,04
1,23;12,66;184,00;1453,89;3496;4398;4457;7,15;8,79;10,35;13,55;18,49;18,45;21,11;21,67;26,55;27,85;33,92;41,08;52,29;64,96;71,82;74,28;76,86;82,94;99,12;É;É;É;É;É;É;...
4,75;76,71;816,00;3868,08;11422;16888;23541;28,24;38,83;52,63;66,92;100,74;129,75;160,39;189,15;191,81;277,45;304,12;323,35;348,76;377,38;397,02;417,01;422,98;430,75;434,85;446,64;452,13;466,17;464,97;469,92;498,28;500,89
0,13;0,36;3,98;75,41;267;404;542;0,66;1,00;1,30;2,15;3,24;4,22;5,50;7,50;8,87;10,06;11,49;13,14;14,28;16,57;17,83;19,34;21,98;24,84;25,92;28,87;31,10;30,48;31,64;32,52;33,23;36,12
0,66;9,10;48,00;801,91;3584;6052;7169;8,27;10,87;15,86;25,94;39,04;52,32;69,00;94,11;112,29;130,01;150,62;181,09;212,98;238,59;261,29;271,00;É;É;É;É;É;É;É;É;É;...
É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;19,39;21,02;21,42;23,64;25,04;26,64;28,08;29,47;30,50;31,63;36,29;36,31
É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;14,51;16,25;17,01;18,90;20,24;21,80;23,23;25,17;26,28;27,01;31,39;31,30
0,72;6,90;45,00;1060,30;5073;7392;9064;9,87;12,12;18,00;30,91;48,87;64,90;80,01;110,08;129,37;149,91;178,47;228,44;267,84;310,20;351,72;379,48;É;É;É;É;É;É;É;É;É;...
É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;60,70;71,10;77,42;92,18;103,00;109,85;121,66;128,67;135,70;143,96;151,33;156,81;161,94;185,80;185,33
0,21;1,20;8,00;124,79;471;703;861;0,92;1,13;1,61;2,87;4,55;6,13;7,32;9,77;11,39;13,03;15,13;18,24;21,03;22,61;24,86;27,98;É;É;É;É;É;É;É;É;É;...
É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;É;1398,66;1490,71;1649,18;1735,87;1771,19;1818,60;1895,33;1930,54;2083,48;2377,36;2403,13
0,51;3,40;29,00;64,66;951;1184;2449;3,18;4,31;5,66;6,89;9,47;12,34;14,36;18,08;20,63;24,30;30,20;37,04;43,81;48,32;55,36;63,63;63,89;67,56;68,24;73,04;75,59;77,94;80,58;83,87;93,45;92,96
3,92;35,10;595,00;2682,71;8077;12083;15661;17,09;25,40;39,16;52,31;70,85;81,07;93,15;110,62;129,87;145,15;165,39;206,46;232,03;249,69;269,02;302,64;314,95;333,42;359,02;371,44;387,16;400,64;415,72;425,42;481,45;479,10
1,89;23,82;498,00;1972,56;3886;4617;4948;7,36;13,09;23,11;34,39;48,66;58,52;74,73;88,63;103,34;114,32;134,86;151,79;167,19;202,04;215,67;228,78;240,57;256,53;259,63;260,50;263,13;266,02;272,87;303,09;316,52;332,26
2,87;18,92;498,00;3186,69;6185;9106;12996;17,32;25,12;33,60;45,08;61,77;72,06;89,70;111,43;134,44;162,11;208,26;243,09;278,17;343,80;397,22;446,94;536,64;573,81;617,53;659,41;673,13;726,22;709,38;744,86;878,05;942,34
0,59;17,34;249,00;955,52;2638;3805;4581;5,12;7,90;9,19;11,57;15,50;16,39;19,95;26,53;33,87;37,24;45,20;53,44;54,86;56,97;61,66;67,30;76,55;85,19;93,12;97,94;101,56;105,12;104,88;111,85;132,51;136,25
30,17;618,53;10304,00;35615,39;90428;134568;168016;201,84;264,25;351,35;444,06;551,39;631,81;724,84;822,07;940,57;1100,52;1328,61;1490,27;1561,61;1726,50;1876,58;1990,25;2205,20;2521,46;2689,09;2782,90;2890,99;3118,21;3018,63;3155,47;3729,98;3966,38
19,64;360,03;6664,00;25380,81;60847;83494;118718;135,41;197,90;279,76;352,04;426,89;488,84;548,62;608,58;714,24;844,67;1057,35;1150,05;1168,45;1365,20;1410,67;1499,03;1614,10;1789,74;1838,78;1869,65;1869,54;1937,53;2000,21;1960,71;2375,25;2515,01
10,50;122,61;1614,00;7016,21;20704;29400;35055;41,90;52,67;62,97;76,60;99,77;116,43;138,84;171,36;197,08;223,27;249,31;304,37;341,30;381,03;422,52;494,47;555,94;610,84;668,09;683,90;724,61;780,86;810,75;889,91;1028,49;1111,04
4,54;48,02;777,00;3470,18;10471;13922;19491;24,40;31,22;37,99;46,89;59,21;66,94;77,96;94,60;110,21;128,21;148,32;174,11;195,11;217,70;242,25;277,24;306,95;334,21;354,91;370,24;382,06;398,49;398,71;468,35;455,43;470,53

